종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","3325","-5","-0.15","3280","3345","3245","78920","259339820","153852780725","46271513"
"095570","AJ네트웍스","KOSPI",,"5410","-50","-0.92","5480","5480","5320","180273","970926310","253308615950","46822295"
"006840","AK홀딩스","KOSPI",,"19300","-100","-0.52","19500","19600","19150","14993","289853350","255677927300","13247561"
"054620","APS홀딩스","KOSDAQ","중견기업부","14850","-450","-2.94","15200","15350","14650","122562","1836272750","302854181850","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","25200","100","0.40","25100","25350","24750","116867","2918059000","385091809200","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","14500","50","0.35","14350","14700","13900","221737","3179052600","218693408000","15082304"
"027410","BGF","KOSPI",,"5290","-20","-0.38","5260","5320","5250","142976","754152560","506341824390","95716791"
"282330","BGF리테일","KOSPI",,"145500","-500","-0.34","145500","146500","143500","20511","2973355000","2514808323000","17283906"
"032790","BNGT","KOSDAQ","관리종목(소속부없음)","4075","0","0.00","0","0","0","0","0","120352455875","29534345"
"138930","BNK금융지주","KOSPI",,"8400","0","0.00","8380","8430","8350","1058390","8878043900","2737856066400","325935246"
"001460","BYC","KOSPI",,"450500","-11500","-2.49","461500","470000","447000","2894","1309668500","281389057500","624615"
"001465","BYC우","KOSPI",,"184500","500","0.27","182500","184500","180500","193","35314500","39738532500","215385"
"013720","CBI","KOSDAQ","중견기업부","3305","-245","-6.90","3550","3655","3305","989417","3442685080","174535513175","52809535"
"001040","CJ","KOSPI",,"83400","-1100","-1.30","84100","84800","83000","50897","4254552700","2433361633200","29176998"
"079160","CJ CGV","KOSPI",,"25050","100","0.40","25050","25300","24800","191412","4802493150","950732970600","37953412"
"035760","CJ ENM","KOSDAQ","우량기업부","138800","-800","-0.57","139600","140700","137000","73094","10127135900","3043766575200","21929154"
"00104K","CJ4우(전환)","KOSPI",,"70500","-1500","-2.08","71500","71800","70500","6143","435190700","297969096000","4226512"
"000120","CJ대한통운","KOSPI",,"126000","-500","-0.40","126500","126500","124500","66720","8386864500","2874355344000","22812344"
"011150","CJ씨푸드","KOSPI",,"3800","80","2.15","3720","4210","3695","2763382","11096481930","136536937400","35930773"
"011155","CJ씨푸드1우","KOSPI",,"36850","-50","-0.14","36900","36900","36300","1278","47070050","7370000000","200000"
"001045","CJ우","KOSPI",,"53800","-200","-0.37","54200","54200","53600","674","36267900","121599997400","2260223"
"097950","CJ제일제당","KOSPI",,"387500","-1000","-0.26","386000","394000","385500","29345","11422504000","5833497075000","15054186"
"097955","CJ제일제당 우","KOSPI",,"177500","-1500","-0.84","179000","179000","177000","2742","487397500","235619357500","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","28750","-150","-0.52","29100","29100","28500","15841","454518800","341308097500","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","3835","5","0.13","3845","3850","3790","469510","1793150995","532651755740","138892244"
"023460","CNH","KOSDAQ","벤처기업부","2545","-5","-0.20","2580","2580","2505","9788","24892035","94674000000","37200000"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","KOSDAQ","벤처기업부","4285","175","4.26","4120","4380","4110","1808182","7751309650","83176692050","19411130"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)","1600","0","0.00","1630","1630","1585","16188","25882070","60694582400","37934114"
"000590","CS홀딩스","KOSPI",,"64100","100","0.16","64000","64200","63300","1019","65176500","74002296200","1154482"
"012030","DB","KOSPI",,"950","6","0.64","947","952","934","489166","462319614","191115236350","201173933"
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)","2115","0","0.00","2115","2115","2100","3213","6750925","12795750000","6050000"
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)","2095","0","0.00","2095","2095","2085","3112","6503600","10139800000","4840000"
"016610","DB금융투자","KOSPI",,"6580","50","0.77","6550","6610","6510","117642","772370510","279297239620","42446389"
"005830","DB손해보험","KOSPI",,"54000","0","0.00","54200","55200","53600","148954","8057207800","3823200000000","70800000"
"000990","DB하이텍","KOSPI",,"72700","-400","-0.55","73100","73500","72100","519512","37796321300","3227777347600","44398588"
"000995","DB하이텍1우","KOSPI",,"102000","0","0.00","101500","102500","101000","213","21669500","11456232000","112316"
"139130","DGB금융지주","KOSPI",,"9380","-40","-0.42","9270","9410","9270","280252","2615634010","1586587913540","169145833"
"001530","DI동일","KOSPI",,"277000","1000","0.36","273000","278500","272000","9245","2537129500","695451435000","2510655"
"000210","DL","KOSPI",,"60900","-700","-1.14","61500","61600","60400","74554","4542935300","1276213335600","20955884"
"001880","DL건설","KOSPI",,"27150","50","0.18","27100","27250","26900","11822","320122800","598746660600","22053284"
"000215","DL우","KOSPI",,"37000","-700","-1.86","38100","38100","36800","1199","44515650","62386255000","1686115"
"375500","DL이앤씨","KOSPI",,"119000","-1000","-0.83","120000","121000","117500","124189","14791159500","2303689822000","19358738"
"37550K","DL이앤씨우","KOSPI",,"69800","-400","-0.57","70800","70800","69500","6141","429030800","147549173000","2113885"
"068790","DMS","KOSDAQ","우량기업부","6760","0","0.00","6750","6790","6650","82671","555664800","166113892360","24573061"
"004840","DRB동일","KOSPI",,"5260","80","1.54","5260","5260","5160","9482","49438320","104831800000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부","5960","-70","-1.16","6060","6060","5920","263718","1575362110","165755961880","27811403"
"155660","DSR","KOSPI",,"5730","80","1.42","5630","5830","5600","120927","695429040","91680000000","16000000"
"069730","DSR제강","KOSPI",,"4730","20","0.42","4665","4830","4665","107359","512047025","68112000000","14400000"
"017940","E1","KOSPI",,"48200","400","0.84","47900","48350","47400","5683","272126500","330652000000","6860000"
"245620","EDGC","KOSDAQ","기술성장기업부","3250","60","1.88","3195","3260","3165","414831","1337661960","272001847000","83692876"
"037370","EG","KOSDAQ","중견기업부","13500","600","4.65","13150","13700","12800","221618","2970805850","111880939500","8287477"
"278990","EMB","KONEX","일반기업부","9000","210","2.39","8800","9000","8800","6","53000","32653998000","3628222"
"079190","EMW","KOSDAQ","벤처기업부","1495","5","0.34","1490","1500","1470","141535","210110420","47517374515","31784197"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6330","20","0.32","6330","6350","6310","109296","691275710","1348853370000","213089000"
"050120","ES큐브","KOSDAQ","중견기업부","4960","110","2.27","4800","5010","4735","38594","189640210","67277866560","13564086"
"383220","F&F","KOSPI",,"945000","-34000","-3.47","973000","973000","945000","33319","31775491000","7240037175000","7661415"
"007700","F&F홀딩스","KOSPI",,"33300","-800","-2.35","34100","34350","33300","74848","2510475750","1302508421100","39114367"
"214270","FSN","KOSDAQ","중견기업부","13800","1350","10.84","12450","14050","12300","11348667","150804304200","365047494600","26452717"
"130500","GH신소재","KOSDAQ","중견기업부","7150","-220","-2.99","7420","7450","7150","599661","4346393400","103997121800","14545052"
"114090","GKL","KOSPI",,"13150","50","0.38","13050","13150","12950","129012","1685358750","813402060500","61855670"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","1235","5","0.41","1230","1235","1225","245531","302055190","83208125000","67375000"
"078930","GS","KOSPI",,"39100","-400","-1.01","39350","39550","39000","172403","6756590950","3632991279800","92915378"
"083450","GST","KOSDAQ","우량기업부","37650","1150","3.15","36500","38500","36350","275794","10377076200","350813099250","9317745"
"006360","GS건설","KOSPI",,"39600","-900","-2.22","40550","40550","39350","510104","20273344750","3389027004000","85581490"
"001250","GS글로벌","KOSPI",,"2370","15","0.64","2340","2390","2335","288315","681148945","195605020680","82533764"
"007070","GS리테일","KOSPI",,"30400","-400","-1.30","30650","30900","30350","201784","6146160350","3183424828800","104717922"
"078935","GS우","KOSPI",,"35000","-100","-0.28","35100","35250","34900","2902","101493100","62468910000","1784826"
"297890","HB솔루션","KOSDAQ","중견기업부","21800","100","0.46","21700","21950","21200","102633","2222204450","363848300200","16690289"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2680","20","0.75","2650","2680","2630","334155","886981250","211694341680","78990426"
"012630","HDC","KOSPI",,"10450","-50","-0.48","10500","10550","10400","103532","1083394600","624300984450","59741721"
"039570","HDC랩스","KOSPI",,"12200","-200","-1.61","12400","12400","12150","16283","198994100","316682732200","25957601"
"089470","HDC현대EP","KOSPI",,"5950","30","0.51","5960","6000","5920","37089","221088540","189805000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"22900","-400","-1.72","23150","23250","22750","256306","5875951050","1509277857000","65907330"
"195940","HK이노엔","KOSDAQ","중견기업부","52500","-700","-1.32","53300","53500","51800","235889","12353497600","1517486197500","28904499"
"011200","HMM","KOSPI",,"26900","-700","-2.54","27600","27600","26700","2187686","58822456150","13155162442400","489039496"
"036640","HRS","KOSDAQ","중견기업부","7230","-50","-0.69","7280","7300","7190","118323","854855980","118245204000","16354800"
"082740","HSD엔진","KOSPI",,"8340","20","0.24","8260","8430","8260","123262","1029060280","389655191640","46721246"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2155","0","0.00","2180","2190","2135","14282","30871595","6723600000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2130","0","0.00","2105","2140","2105","22851","48379490","11012100000","5170000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)","2375","10","0.42","2385","2385","2340","5639","13295570","8360000000","3520000"
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)","2135","5","0.23","2130","2170","2120","81427","173834415","7280350000","3410000"
"003560","IHQ","KOSPI",,"1475","25","1.72","1450","1495","1435","1275131","1880053315","215697728300","146235748"
"095340","ISC","KOSDAQ","우량기업부","35350","3750","11.87","31450","35800","31400","1413800","48077694350","584848640600","16544516"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"175330","JB금융지주","KOSPI",,"8350","130","1.58","8250","8380","8180","487964","4047359610","1644807164900","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","4080","25","0.62","4105","4105","3950","28649","115023520","142822509360","35005517"
"234080","JW생명과학","KOSPI",,"13850","-200","-1.42","14000","14100","13750","48251","668809900","219308572900","15834554"
"067290","JW신약","KOSDAQ","중견기업부","4040","-5","-0.12","4050","4050","4000","64456","259006995","177504906320","43936858"
"001060","JW중외제약","KOSPI",,"22800","0","0.00","22900","22950","22650","30117","685784550","491110312800","21539926"
"001067","JW중외제약2우B","KOSPI",,"60500","2800","4.85","57300","60500","57300","508","30102800","6050000000","100000"
"001065","JW중외제약우","KOSPI",,"34000","950","2.87","33300","34000","32900","793","26467250","6034524000","177486"
"096760","JW홀딩스","KOSPI",,"3430","25","0.73","3395","3445","3385","27910","95430405","234753254260","68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부","50700","400","0.80","50500","51000","49550","274095","13804958850","1799722844400","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","1955","0","0.00","1940","1960","1935","74439","145278285","64418907840","32950848"
"105560","KB금융","KOSPI",,"55000","-400","-0.72","55100","55600","54800","716768","39522250900","22869435600000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","6670","10","0.15","6660","6760","6600","27171","181835930","76705000000","11500000"
"002380","KCC","KOSPI",,"315000","4000","1.29","309500","316500","307500","31146","9756991500","2799238365000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","8190","-60","-0.73","8220","8250","8120","31974","261108570","175266000000","21400000"
"344820","KCC글라스","KOSPI",,"59900","-200","-0.33","60000","60100","59500","39589","2364995900","956633668800","15970512"
"036670","KCI","KOSDAQ","우량기업부","9180","0","0.00","9130","9180","9120","5962","54530940","103458600000","11270000"
"009070","KCTC","KOSPI",,"6220","-100","-1.58","6240","6330","6200","213071","1330463960","186600000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"4475","265","6.29","4295","4900","4260","1147738","5269939065","100396535500","22434980"
"112190","KC산업","KONEX","일반기업부","3635","40","1.11","3600","3635","3600","2004","7251000","25900294655","7125253"
"119650","KC코트렐","KOSPI",,"6170","60","0.98","6120","6430","6090","219152","1368606020","108592000000","17600000"
"044180","KD","KOSDAQ","중견기업부","1260","5","0.40","1260","1285","1230","144110","181624530","29334366180","23281243"
"092220","KEC","KOSPI",,"3710","10","0.27","3670","3760","3670","6321301","23497034965","536904303110","144718141"
"151860","KG ETS","KOSDAQ","우량기업부","14650","-200","-1.35","14950","14950","14600","168169","2470899750","527400000000","36000000"
"016380","KG동부제철","KOSPI",,"10600","-100","-0.93","10650","10750","10550","106687","1132208950","1060094308200","100008897"
"016385","KG동부제철우","KOSPI",,"95800","0","0.00","96100","96100","95000","53","5075600","5114283000","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","12200","50","0.41","12200","12400","12000","633017","7723820600","473671929600","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","19000","-450","-2.31","19400","19450","18850","239620","4594742700","530184246000","27904434"
"001390","KG케미칼","KOSPI",,"30750","50","0.16","30700","31000","30600","36359","1117059950","426382452000","13866096"
"226360","KH E&T","KOSDAQ","벤처기업부","1330","-5","-0.37","1320","1345","1315","207915","276694430","94900494150","71353755"
"111870","KH 일렉트론","KOSDAQ","중견기업부","777","23","3.05","758","783","745","531919","406638517","86201401755","110941315"
"033180","KH 필룩스","KOSPI",,"2615","-25","-0.95","2640","2650","2600","308995","811304285","357549640360","136730264"
"060720","KH바텍","KOSDAQ","중견기업부","26700","1050","4.09","25850","27000","25350","1476639","38855148650","632187701400","23677442"
"001940","KISCO홀딩스","KOSPI",,"14550","-150","-1.02","14800","14800","14500","17926","261237000","268831329000","18476380"
"122450","KMH","KOSDAQ","중견기업부","8110","60","0.75","8020","8290","8000","123660","1008131870","367674668040","45335964"
"052900","KMH하이텍","KOSDAQ","중견기업부","1820","20","1.11","1810","1850","1785","971218","1763825270","93963043720","51628046"
"058400","KNN","KOSDAQ","우량기업부","1385","10","0.73","1375","1400","1360","731763","1010925880","183415162200","132429720"
"114450","KPX생명과학","KOSDAQ","중견기업부","10100","-850","-7.76","10950","11050","9990","2982107","30793011130","151500000000","15000000"
"025000","KPX케미칼","KOSPI",,"53600","-100","-0.19","53800","53800","53100","3341","178205900","259424000000","4840000"
"092230","KPX홀딩스","KOSPI",,"63500","-600","-0.94","64100","64100","63100","2758","175045300","268265021000","4224646"
"000040","KR모터스","KOSPI",,"865","-1","-0.12","866","871","855","225930","195888793","83158823320","96137368"
"044450","KSS해운","KOSPI",,"11850","100","0.85","11750","11900","11750","37668","446956300","274752678000","23185880"
"030200","KT","KOSPI",,"30600","-400","-1.29","31000","31150","30550","1008721","31043686650","7990021324800","261111808"
"033780","KT&G","KOSPI",,"79000","-700","-0.88","79700","79700","78800","610065","48282259500","10846107263000","137292497"
"030210","KTB투자증권","KOSPI",,"5190","-140","-2.63","5360","5360","4900","587605","3062829280","313030137480","60314092"
"058850","KTcs","KOSPI",,"2585","-40","-1.52","2630","2630","2570","124418","323225590","110340725000","42685000"
"058860","KTis","KOSPI",,"2540","-30","-1.17","2570","2575","2510","125535","319550440","88397080000","34802000"
"060370","KT서브마린","KOSDAQ","중견기업부","5400","-30","-0.55","5440","5440","5290","126131","673622430","118260000000","21900000"
"093050","LF","KOSPI",,"17250","100","0.58","17250","17250","17050","19092","328046350","504390000000","29240000"
"003550","LG","KOSPI",,"80900","-900","-1.10","81400","81800","80700","357548","29003502100","12725650333700","157300993"
"034220","LG디스플레이","KOSPI",,"24600","300","1.23","24250","24750","23950","5938944","145214958650","8802266220000","357815700"
"051900","LG생활건강","KOSPI",,"1097000","-14000","-1.26","1107000","1107000","1094000","38343","42118207000","17133162109000","15618197"
"051905","LG생활건강우","KOSPI",,"616000","-1000","-0.16","616000","616000","607000","1056","645318000","1293413352000","2099697"
"003555","LG우","KOSPI",,"63600","-400","-0.63","64500","64500","63000","6228","395150000","192175032000","3021620"
"032640","LG유플러스","KOSPI",,"13600","-50","-0.37","13600","13700","13550","737832","10034405150","5937914509600","436611361"
"011070","LG이노텍","KOSPI",,"364000","-4000","-1.09","368000","371000","361000","249963","91329638500","8614826948000","23667107"
"066570","LG전자","KOSPI",,"138000","-2500","-1.78","140000","140500","138000","703821","97642238000","22583398332000","163647814"
"066575","LG전자우","KOSPI",,"65500","-1400","-2.09","67000","67000","65500","42841","2822909900","1125682476000","17185992"
"037560","LG헬로비전","KOSPI",,"5560","-10","-0.18","5530","5590","5470","151495","840635740","430604569400","77446865"
"051910","LG화학","KOSPI",,"615000","-13000","-2.07","630000","630000","611000","243420","150091524733","43414290945000","70592343"
"051915","LG화학우","KOSPI",,"287000","-8000","-2.71","295000","295000","286000","16650","4787794000","2206685600000","7688800"
"079550","LIG넥스원","KOSPI",,"68600","800","1.18","68700","70200","67600","432604","29919203900","1509200000000","22000000"
"006260","LS","KOSPI",,"54100","200","0.37","54500","54500","53700","52759","2850932400","1742020000000","32200000"
"010120","LS ELECTRIC","KOSPI",,"55800","-200","-0.36","55700","56400","55600","59048","3307136600","1674000000000","30000000"
"000680","LS네트웍스","KOSPI",,"3010","25","0.84","2960","3055","2950","54053","162504125","237197078160","78803016"
"229640","LS전선아시아","KOSPI",,"7930","-50","-0.63","8000","8000","7910","22811","181147280","242855290470","30624879"
"108320","LX세미콘","KOSDAQ","우량기업부","167300","7700","4.82","159600","168800","158600","422504","70025154400","2721017390000","16264300"
"001120","LX인터내셔널","KOSPI",,"26450","0","0.00","26500","26600","26250","176304","4662850150","1025202000000","38760000"
"108670","LX하우시스","KOSPI",,"61500","-1300","-2.07","62800","63500","61200","47684","2937091000","551511705000","8967670"
"108675","LX하우시스우","KOSPI",,"28450","0","0.00","28600","28600","27900","2366","66370000","29369788500","1032330"
"383800","LX홀딩스","KOSPI",,"10000","-150","-1.48","10050","10150","10000","346995","3496355900","762806900000","76280690"
"38380K","LX홀딩스1우","KOSPI",,"15200","-250","-1.62","15400","15400","15200","18669","284318050","22272332000","1465285"
"023150","MH에탄올","KOSPI",,"10200","-50","-0.49","10250","10450","10150","39060","401953800","75260965200","7378526"
"035420","NAVER","KOSPI",,"378500","-3500","-0.92","381000","382000","376000","369314","139545143500","62092578672500","164049085"
"160550","NEW","KOSDAQ","중견기업부","14350","450","3.24","14000","14450","13750","710242","10095467600","400452621100","27906106"
"053290","NE능률","KOSDAQ","중견기업부","11400","-250","-2.15","11700","11700","11300","173577","1976889350","188399899800","16526307"
"181710","NHN","KOSPI",,"45000","1150","2.62","44500","45000","43500","103477","4562845700","880426125000","19565025"
"104200","NHN벅스","KOSDAQ","중견기업부","19100","450","2.41","18950","19500","18550","2244794","42738882200","283206205000","14827550"
"060250","NHN한국사이버결제","KOSDAQ","우량기업부","30350","-950","-3.04","31000","31100","30300","178604","5448091350","1093098195250","36016415"
"400760","NH올원리츠","KOSPI",,"5190","-10","-0.19","5200","5210","5180","192123","997583210","219018000000","42200000"
"005940","NH투자증권","KOSPI",,"12500","-150","-1.19","12650","12650","12400","764858","9568824950","3712923587500","297033887"
